store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
RBA2005788,ห้างหุ้นส่วน​จำกัด​ ทิชชู่​ชลบุรี​ สำนักงานใหญ่,54/8 ม.2 ต.บ้านสวน อ.เมืองชลบุรี,20000,Chon Buri,SEMI WHOLESALE,,East,13.34512333,100.9848667,SEMI WHOLESALE,"111,978.43",8.67,,RBAC02,,,,,,,,
RBA2005789,บริษัท​ โสภณ​อีส​เทิร์น​เท​รดดิ้ง​ จำกัด,99/9 ​ม.6 ต.หนองปลาไหล อ.บางละมุง,20150,Chon Buri,Minimart,,East,12.70861167,101.1710333,Minimart,"42,115.04",5.25,,RBAC02,,,,,,,,
RBA2005790,บริษัท​ เบสท์​ แฟคตอรี่​ เอาท์เล็ท​ จำกัด,629​ ม.11​ ถ.สุขาภิบาล​ 8 ต.หนองขาม อ.ศรีราชา,20110,Chon Buri,SUPERMARKET,,East,12.708705,101.1709567,SUPERMARKET,"18,271.98",6.25,,RBAC02,,,,,,,,
RBA2005791,บริษัท​ สี่แยก​เซ็นเตอร์​  จำกัด,485  ถนนสุขุมวิท​ ต.แสนสุข อ.เมืองชลบุรี,20130,Chon Buri,SEMI WHOLESALE,,East,13.264544,100.933924,SEMI WHOLESALE,"39,120.96",4.67,,RBAC02,,,,,,,,
RBA2005795,บริษัท​ ศรีธิคำ​ มาร์เก็ต​ติ้ง​ จำ​กัด​,142/5 ม.3 ต.บึง อ.ศรีราชา,20230,Chon Buri,SEMI WHOLESALE,,East,13.081787,100.997113,SEMI WHOLESALE,"33,383.64",5.83,,RBAC01,,,,,,,,
RBA2005801,บริษัทเบ็ดเตล็ด​ สโตร์​ แหลมฉบัง​ จำกัด,27​ ม.10 ต.ทุ่งสุขลา อ.ศรีราชา,20230,Chon Buri,SEMI WHOLESALE,,East,13.08778,100.919407,SEMI WHOLESALE,"47,106.15",6.25,,RBAC02,,,,,,,,
RBA2005802,บริษัท​ เบ็ดเตล็ด​ สโตร์​ 8​ ปิ่นทอง​ จำกัด,492/185 หมู่ที่10 ต.หนองขาม อ.ศรีราชา,20110,Chon Buri,Minimart,,East,13.12473667,101.0015933,Minimart,"76,630.67",11.75,,RBAC02,,,,,,,,
RBA2005817,บริษัท​ เดอะ​ เบเวอร์ลี​ โฮเทล คอร์ปอเรชั่น​ จำกัด,59/35  ม.10​ ถ.พระตำหนัก​ ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,SUPERMARKET,,East,12.946135,100.8913317,SUPERMARKET,"55,699.20",0.67,,RBAC02,,,,,,,,
RBA2006025,ภาวินช็อป,94/7 หมู่2 ต.บางพระ อ.ศรีราชา,20110,Chon Buri,Minimart,,East,13.21249,100.943287,Minimart,"15,667.65",10.42,,RBAC02,,,,,,,,
RBA2006026,ร้านซูเปอร์,70 หมู่2 ต.บางพระ อ.ศรีราชา,20110,Chon Buri,Minimart,,East,13.218488,100.94111,Minimart,"13,024.47",3.75,,RBAC02,,,,,,,,
RBA2006028,บริษัท เบสท์ แฟคตอรี่ เอาท์เล็ท จำกัด,629 หมู่11 ถนนสุขาภิบาล8 ต.หนองขาม อ.ศรีราชา,20110,Chon Buri,OTHERS (CREDIT),,East,13.0818159,100.936024,OTHERS (CREDIT),"52,870.62",2.33,,RBAC02,,,,,,,,
