city,place_id,name,name_norm,address,lat,lng,types,banner,format,reckitt_target
"RECIFE, PE",,Oficina da Casa,oficina da casa,"Rua Julião Neto, 512 - Encruzilhada, Recife",-8.034435100000001,-34.8948575,"furniture_store,home_goods_store,store,point_of_interest,general_contractor,establishment",Independente / Sem chain identificado,Loja de Móveis,EXCLUDE
"RECIFE, PE",,Rede Construir - RIVA LAR E CONSTRUÇÃO,rede construir - riva lar e construcao,"Estrada de Belém, 1809 - Campo Grande, Recife",-8.0316377,-34.8758431,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,VIA VENETO / HARRYS,via veneto / harrys,"Avenida Governador Agamenon Magalhães, 153 - 352 - Santo Amaro, Recife",-8.037949,-34.87224,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Mais Esportes,mais esportes,"Galeria Hora Center - Rua da Hora, 345 - Loja 26 - Espinheiro, Recife",-8.044585099999999,-34.89318179999999,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Depósito Alexadre Bebidas,deposito alexadre bebidas,"Rua Cláudio Nigro, 389 - Salgadinho, Olinda",-8.027316800000001,-34.8666692,"supermarket,liquor_store,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Mercadinho E Granja Passira,mercadinho e granja passira,"Rua Cláudio Nigro, 400 - Salgadinho, Olinda",-8.0269244,-34.8665854,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Mercadinho,TARGET
"RECIFE, PE",,Mercadinho Do Elias Kabeça,mercadinho do elias kabeca,"Rua Djalma Dutra - Salgadinho, Olinda",-8.0263543,-34.86948050000001,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Mercadinho,TARGET
"RECIFE, PE",,Mercado Barbosa salgadinho,mercado barbosa salgadinho,"Avenida Professor Andrade Bezerra - Salgadinho, Olinda",-8.0249208,-34.8645183,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Economia Perto De Você,economia perto de voce,Brazil,-8.021099099999999,-34.85291629999999,"supermarket,grocery_or_supermarket,food,store,point_of_interest,establishment",Independente / Sem chain identificado,Supermercado,TARGET
"RECIFE, PE",,Posto Petrobras,posto petrobras,"Rua Monteiro Lobato, 32 - Santa Tereza, Olinda",-8.0240635,-34.8600032,"gas_station,car_wash,convenience_store,car_repair,store,restaurant,food,point_of_interest,establishment",Petrobras,Posto / Conveniência,TARGET
"RECIFE, PE",,Posto Petrobras + GNV,posto petrobras + gnv,"Avenida Olinda Dom Hélder Câmara, 514 - Santa Tereza, Olinda",-8.023091899999997,-34.8595408,"gas_station,car_wash,convenience_store,car_repair,store,restaurant,food,point_of_interest,establishment",Petrobras,Posto / Conveniência,TARGET
"RECIFE, PE",,BR Mania Conveniência,br mania conveniencia,"Avenida Olinda Dom Hélder Câmara, 150 - Umuarama, Olinda",-8.0202352,-34.8560148,"convenience_store,gas_station,atm,meal_takeaway,cafe,car_repair,finance,store,restaurant,food,point_of_interest,establishment",BR Mania (Petrobras),Conveniência,TARGET
"RECIFE, PE",,Barraca Cosme & Damião,barraca cosme & damiao,"Avenida Agamenon Magalhães, 136 - Salgadinho, Olinda",-8.029260899999999,-34.8663872,"convenience_store,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Conveniência,TARGET
"RECIFE, PE",,CONVENIENCIA OLINDA,conveniencia olinda,Brazil,-8.0206704,-34.8568998,"convenience_store,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Conveniência,TARGET
"RECIFE, PE",,Posto Petrobras,posto petrobras,"Avenida Olinda Dom Hélder Câmara, 150 - Varadouro, Olinda",-8.0202352,-34.8560148,"gas_station,car_wash,convenience_store,car_repair,store,restaurant,food,point_of_interest,establishment",Petrobras,Posto / Conveniência,TARGET
